,core#exactMatch,sameAs,color,date,label,n,Continent,title,url,value,voy,thumbnail,prov#wasDerivedFrom,areaTotal,hypernym,language,demonym,populationTotal,isPartOf,isPrimaryTopicOf,core#closeMatch,align,cities,countries,density,dependencies,direction,gdpNominal,gdpPerCapita,gdpPpp,header,headerAlign,height,languages,m,reason,time,totalWidth,width,internet,listCountries,unrecognized,owl#differentFrom,wgs84_pos#lat,wgs84_pos#long,point,b,commons,population,q,s,v,wikt,wgs84_pos#geometry,alt,footer,footnotes,hdi,religions,religionsYear,size,thumb
0,17642-3,173744536,#FE3,11/3/2013,Uganda,Category:Africa,AF,Articles Related to Africa,Hungarian-military-forces-in-Africa-%E2%80%93-past-and-future-Recovering-lost-knowledge-exploiting-cultural-anthropology-resources-creating-a-comprehensive,15.38,Africa,Africa_(orthographic_projection).svg?width=300,Africa?oldid=1056790851&ns=0,3.04E+13,World,English_language,African,2,target,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,i86219,316648873,,20-May,,,SA,South America,,,,South_America_(orthographic_projection).svg?width=300,South_America?oldid=1057957894&ns=0,1.78E+13,Continent,English_language,South American,5,target,South_America,17931-3,right,Salvador,,21.4,,vertical,2.90E+12,6720,6.53E+12,South American cities,center,600,,– South America,which region of Asia?,UTC-2 to UTC-5,500,1000,,,,,,,,,,,,,,,,,,,,,,,
2,17553-2,315526119,,,,,AS,Articles Related to Asia,,,,Asia_(orthographic_projection).svg?width=300,Asia?oldid=1054913136&ns=0,4.46E+13,Earth,Languages_of_Asia,Asian,1,target,Asia,,,List of cities in Asia,49,100,,,3.44E+13,7850,6.34E+13,,,,Languages_of_Asia,– World,,UTC+2 to UTC+12,,,.asia,List of sovereign states and dependent territories in Asia,,,,,,,,,,,,,,,,,,,,,
3,17806-6,315126791,,,,North America,NA,North America,,,North America,Location_North_America.svg?width=300,North_America?oldid=1057516072&ns=0,2.47E+13,Continent,English_language,North American,592296233,target,North_America,26538-4,right,,23,22.9,23,vertical,2.49E+13,49430,2.66E+13,North American cities,center,,and many others,– North America,,UTC-10 to UTC,,200,,List of sovereign states and dependent territories in North America,,Northern_America,48.1667,-100.167,48.166666666666664 -100.16666666666667,North America,North America,592296233,North America,North America,North America,North America,POINT(-100.16666412354 48.166667938232),,,,,,,,
4,16815-3,252680782,Red,,Other religions,,EU,Europe,,75.2,,Europe_orthographic_Caucasus_Urals_boundary_(with_borders).svg?width=300,Europe?oldid=1058070064&ns=0,,Continent,English_language,European,3,target,Europe,,right,,50,72.9,6,vertical,2.31E+13,31020,3.04E+13,European megacities,center,,,,,UTC−1 to UTC+5,,240,,,,,,,,,,,,,,,,Levent,"Charlemagne's empire in 814: ,",b.  Istanbul is a transcontinental city which straddles both Europe and Asia.,0.845,,2012,300,right
5,i83266,253275800,,,,,OC,Articles related to Oceania,,,,Oceania_(orthographic_projection).svg?width=300,Oceania?oldid=1057308143&ns=0,8.53E+12,Region,English_language,Oceanian,6,target,Oceania,17948-0,,"Wellington, New Zealand",,,,,1.63E+12,41037,,,,,,– Oceania,,UTC+09  to UTC-6,,,,,,,,,,,,,,,,,,,,,,,,,
